Kapampangan,English
Cauig,"Cauigcauig, frequentative, Picauigcauigan moya"
Cauil,An object carried under the arm over the hip bone
Cauing,"An object that is clasped, like, a hook clasped to an eye, and one who carriesajug in each hand is said as Micauingya; it is Mi, transitive, one who is linked to another, or joined to each other, as though chained together"
Cauit,"A hook, grapple hook"
Cua,A little pistol
Cuaqui,Icuaqui
Cubcub,"Mamubcub, to surround with people, or with trenches / ditches, or fishpen"
Cubo,a hut in the middle of rice fields used to scare away birds
Cubug,"A loud thudding sound, like thatof a troopof cavalry"
Cubut,A little fish pen
Cucuc,"Cackling of hens, not when they have just finished laying an egg, which is malpatoc, but when they have their chicks"
Cucung,"To shrink, like, lumber, which warps under the heat of the sun, or the washed clothes which crease under the heat of the sun"
Cudiapi,A musical instrument similar toaharp
Cudta,"Micudta, micucudta, one who invents, or composesaliterary work or verses"
Cuy,"Cuycuy, icuvcuv"
Cuya,"Shortness, (material, not stature)"
Cuyam,"Cuyamcuyam, astir, like worms inafestering wound"
Cuyap,"Cuyapcuyap, to hardly appear, like that little you can perceive of an object that is submerged, but not totally covered by the water"
Cuyug,"Inseparable partner, like, a pair of doves, and from this, the one who always tag along with another isacuyug, cacuyugcuyug, exaggeratively"
Culabit,Synonym of alabil
Culacling,"A species of bird, the thrush with red eyes"
Culayadiang,"Ebony, ebonywood"
Culaing,"A French horn, here it is made of bamboo"
Culayo,The owl
Culala,Interjection of joy
Culam,W itch craft
Culamut,"To spread roots, like, a baliti tree"
Culang,faulty; defective; lacking
Culapad,Intestinal worms (amoeba)
Culapo,"Molds or moss, that appear on stones or in preserved foods"
Culaput,Culaputan
Culapsing,The minutest portion
Culasa,"Magculas, be resolute in sinning withawoman, with great gratification over the sin, and in proximate danger of pollution, achieving it or not, like magtalas"
Culasisi,"A parakeet, or small bird"
Culat,"Like, oil on the water, or seep through, like on paper"
Culatay,Mamulatav
Calatcat,"Any long and slender thing, likeareed or cane, twig, or small tree"
Culatic,Pangalatican or vansulatican
Culauit,to shout to someone very far away
Culcul,"A hole in the ground, not deep, but like those on the road that is not smooth or plain, or level, or even"
Culda,"Green, likeafruit, in its early stage"
Culdap,"Culdapculdap, said of what passes before ones eyes with great brevity, like, the lightning"
Culdas,That which or one who steps down
Culi,"To incline, or to tend to, or what comes to one by nature or heredity"
Culiling,The cord of the Gaud (oar)
Culimlim,"A dark object, or badly tinted/dyed"
Culipat,A red feathered bird of prey
Culipatpat,M ovement of the Lipatpat (glow worm)
Culis,"A tree, which producesayellow dye, used in tinting ebos"
Culisac,Synonym of Acclis
Culisap,Louse bigger than the Cumad
Culit,Fne points in Pampango handwriting
Culub,"A covering, pot lid"
Culubung,"Mag, reciprocal, maeculubum"
Culug,"Thunderclap or sound, noise that is hardly perceived"
Culumbo,Tent-like curtain (mosquito net)
Culumpis,Maneulumpis
Culung,"Swellings of the lymph glands, dry ones, including those in the neck; neutral verb, the appearing ofaswollen lymph gland, manuluvavan"
Culurun,"Wrinkle, crease, like on the forehead, or onacloth"
Culus,"Swishing sound, like, that of swishing silk or taffeta clothes"
Culut,"Curled, curly kinky"
Culutculutan,A well known bush
Culuung,Distiller inatavern
Cul-Lyauan,A golden oriole
Cumcum,Icumcum
Cumit,"Past, Quimit"
Cumpay,Grass/fodder given to horses
Cumpal,"Cumpal, or micumpal cumpal, when they are inaswarm, or in heaps, like, swarming ants, oramultitude, even of people"
Cumpas,A little stick or rod with which to goadahorse
Cumpit,"That which is guarded tenaciously, like the money, orasecret"
Cumpul,Synonym of Cumpal
Cumul,to chew with mouth closed; eating discreetly as if hiding something
Cumun,"Manzumun, to carryachild in the arms, like one being taken to be baptized"
Cumus,"Cumusan, quimusan"
Cundarit,"M an?undarit, man?un?undarit, men?undarit, to show/ manifest happiness and joy, like, toafriend whom we finally meet, after missing him foralong time, or when children come out with gesticulations and gestures of joy to meet their father who is returning home fromalong travel or journey, or those provocative affectations that women make with men to incite them to evil, or when one comes withawide smile to ask for something"
Cundilat,The spleen or the pancreas ofabeast
Cupia,"Magcupia, to useahat"
Cupit,Mansupit
Curacura,"A lean-on for shafts and crutches, or for muskets"
Cural,"Dirtiness, grime on the face, or on the body"
Curam,The pot
Curap,"Curapcurap, the opening and closing of the eyes, batting of eyelids, like, one badly awakened, or one whose eyes are irritated"
Curo,"Cacuro, one handful, what can be contained in one hand, like, one takingadouble handful, but using only one hand"
Curuc,Curucan
Curug,"Curugcurug, the noise caused by galloping horses, or when children run or romp in the room of the convent if the flooring is made of wood"
Curul,"Said ofabrave and invincible warrior when it happens that he has to retreat, or, if the steel sword, despite its sharpness, misses its target"
Cusa,willingness; initiative; doing something of ones own accord
Cusad,to crawl (of a snake or reptile)
Cuscus,Icuscus
Cusisap,"Meguing cusisap, said ofathing that is very thick, or dense, like, luxuriant growth /foliage, like the palay that is leafy or luxuriant"
Cusut,Icusut
Dabal,corpulent; misshapen body
Dabilbil,whizzing sound of rapidly flowing water
Dabulbul,a part in relation to the whole
Dagatag,large adjustable shade or awning (used by vendors against the sun)
Dagdag,to add; addition
Dag-Glus,hurriedly; in a rush
Dagma,"the cause of sinking, crushing, or falling down"
Dagsa,to topple or cause something to fall down
Daguis,mushroom (payung daguis)
Dagul,magnitude; greatness; enormity
Dagulgul,to beat or pound
Dagus,to slide down
Dayon,to take a stroll or go for a walk
Dayi,relative; of the same lineage or bloodline
Dait,washboard; a thin plank at the side of a boat that deflects wash
Dayupay,fully-winged locust
Dayuput,density; thickness
Dala,"Ica and Maca: Non nino ing tambing cuman alimbauang icaral quing casiran ding aliua, iyan totong maganaca"
Dalacdac,"Maralacdac, ablazing, abundance of flames, past, Me, also Dalacdacan, delacdacan"
Dalag,"Mudfish, a well known species of fish"
Dala?A,"A d jectiv e , a singlewo man , ayo ung maiden bef ore gettingm arr ie d"
Dalamat,to become contiguous; to adhere or stick to (like a stain or scab)
Dalampang,to stumble while walking (like a child or elderly person learning to walk)
Dalampasig,sandy shoreline; beach or riverbank
Dalampo,"N eutral verb , tohu mbleon ese lfbe forean o ther, m aeparalam po"
Dalampul,N eutral verban d that
Dalan,"N oun , road , whe reon epa sse sor walk s, phy s icallyan dmorally"
Dalandan,"A species of citrus, fruits are orange in color, also called, cajel, from Spanish"
Dalan?At,"At one time or another, it is said of men beset by sudden fear"
Dalapdap,Also the covering of the ambi (awning) in relation to the roof
Dalaquit,"Past, delaquit, what was carried across"
Dalarac,"N oun , thos esticks /rods onw h ichth e (pinaud) n ipathatchings a re fastene d to thedingding (sidings,)"
Dalas,"N oun , hurr iedrepe titiono fwh ato neisdo in g"
Dalauo,"N oun , aho le"
Dalaua,"M aralaua, m araralaua, a treeb eco m ingc lear and d isen gag edfromth icke ts : and a treer are lyuse d"
Daldac,"A ndits in fin itiv e , daldac"
Daldal,to crumple or rumple cloth; to crush
Daleray,N eutral verban d that
Dali,"N oun , O nef inge rwid th"
Dalicat,"N oun , V isco u s , lik e , p itc h , resin , orb itume n , hon eyo rco mbinationo f ingred ients"
Dalig,"Dingding, a siding made of wood"
Dalirul,Spout of water
Dalit,"Couplet, ballad, Pampango song"
Dalit-Ta,Magdalita
Daliuauat,Pimples that appear or come out on the face
Daloc,to help hammer iron on the same anvil
Dalong,"Complaint, groan, resentment"
Dalpac,"Past, Dilpac, that which is trampled"
Dalucduc,"The place, or to whom one goes to frighten, like, toacompanion one swims with"
Dalugdug,"N oun , gre atg rowthof ama n , orp lant, orb eas t"
Dalungdung,"Synonymof Balungbung, ashadeput upin thericefield"
Dalus,occurrences following one after another in sequence
Dalusdus,to slide downhill; to go down a slope
Dalusung,"Neutralverbandits infin itive , M anyalusong, tocomew ithvio lence , to rushanda ttack , likeonego ingtoassau ltsomeon e"
Dam,to ask for a loan; to borrow for a short time
Damac,a measure of five fingers; the width of the palm of the hand
Damag,a heavy object balanced at its center
Damal,Damalan
Damali,The past favors or good deeds with which
Dambo,"And its frequentative, mazdambodambo to go stomping, or make stomping steps when vexed or irritated, like children when asked or commanded to do some task"
Dambuala,"Mammoth, or sea monster, oralarge sea mammal, like the whale"
Dambobo,"To kick, or stomp angrily duringadispute or quarrel"
Dambong,"Citer, summoner"
Damdam,to sense; to feel; to perceive
Damil,melted or smashed flat; flattened (like cheese or a French roll)
Damit,to seize; to snap at prey (as a hawk does)
Damitac,"NeutralverbofMa, m aram itac"
Damla,good name; good reputation; generosity
Dampang,to walk unsteadily from weakness
Dampal,to slap with an open hand
Dampi,"N oun , thea rtof hea lin g /app ly ingm edic in e , e ither w ithaw a rmbric k , orw ithho t ashes"
Dampul,"A dye made from porks blood and certain tree barks, used in dyeing nets"
Damput,What is taken in all these ways
Damucu,A species of little black crabs
Damulag,carabao; water buffalo
Damulas,A barge of logs or planks fastened with rattan
Damul,"Synonym of Damil, Dampul"
Damuro,"A herb, its grains are like Anis"
Damusac,"Or Damutac, Active verb and its infinitive, manvamusac"
Damut,"Damutyapaman?an, a beast with little food, sparse to eat; Damutya catauan, one who hasalittle, or lean/thin body; Damutya quing biena, to belittle oneself, or one having little in life, or lives miserably, become miserable in life"
Dan,"The part ofaleg that is above the heel, serves asasupport of the whole leg"
Danac,"Ective, said ofaseeding field that is irrigated well (that is not laun), Danacya"
Danay,Continate
Dangcao,"The space or interval between the steps, Dinscaoan"
Dangcan?Ao,Abird like the heron
Dangdang,"Extremity, end point"
Dan?In,"Spoils/booty in war, like war trophies; those of the negritos are heads of their enemies"
Danglay,"Past, Dinglay, that which is cleared or removed"
Dangpa,"A hut, kiosk, or shepherds hut, whose roof slants to only one side"
Dantit,Dantic
Danun,"To anticipate, act ahead / early, (it is a Latin trait)"
Danup,Hunger
Dapal,"Haste, hurry"
Dapat,"N oun , work , inge nera l"
Dapil,flattened or crushed (as a soft fruit)
Dapilpil,Synonymof Dapulpul
Dap-Pius,to slip; to go astray (as a knife or arrow that goes too far off target)
Dapo,"N oun , cro cod ile"
Dapuc,to put or place something into a vessel or basket
Dapug,"N oun , bon fireof cow -dun g , etc"
Dapuli,two fighters who fall at the same time; a draw with no victor
Dapulpul,"2, past, Depulpul, the one who defeats an opponent in this manner"
Daput,"Merely, yet"
Daquit,"That with which, or the means, like an ox, a horse, etc"
Dara,"Aunt, or stepmother"
Darac,"Rice bran, which results from the dasdas (pounding of rice), the rice husks/hulls reduced to powder"
Darang,Mandarang
Daras,An adze
Data,"Weeds among the palay, wheat; & verb, Manyata, to pull out the weeds"
Datang,"Is saidof many, it is equivalent to to arrive"
Dati,Macarati
Datig,"Contiguous, adjacent"
Datila,to hold something in ones heart; to persevere
Datna,Modest composure
Dato,A chieftain
Datoc,Syncopate of Dapuc
Daton,Synonymof Dapuc
Dicdic,Crust on the head
Dicut,"Grass, in general"
Dila,The tongue
Dilat,"Macarilat, sticking out the tongue thus; also, stick out the tongue in contempt"
Dildil,"Also, dildil, adjectival noun, disgusting, nasty thing, objectionable or displeasing to the eye, loathsome to See filthy in aspect"
Dili,"Solely, alone"
Dilis,"String, cord, in general: rarely used"
Dilo,Diluan
Dimit,to sew or stitch fabric
Dingding,Walls or sidings made of nipa
Din?In,"Meguin dingin, the sourest, most sour"
Dinglas,A species of shrimps
Diquil,"The part allotted to anyone by distribution, or by fate/fortune, or by accident"
Diquing,"Lower place, opposite of Siduan, which is theprincipal place"
Diquit,"Miriquit, two sticking to each other.; Miriquitdiquit, if many"
Diri,"Nausea, loathsomeness"
Diris,"Musk, civet cat"
Dirxt,Few/little
Dit-Ta,"A species of cane, from which arrows are made"
Ditac,"Little, few"
Diua,Ruddiness
Diuata,Those that are taken for idols and false gods
Durao,Dumurao
Duac,"Medium, lesser, smaller"
Duay,"Disordered appetite, like of gluttony, or of lust"
Dubasa,"The lower horizontal half of the coconut shell, used as drinking cup or vessel"
Ducal,To become nauseated before throwing up; the stomach turning up beforeathrow up
Ducduc,"Said of people whose head is so close to the shoulders, and thus, appear to be withoutaneck, like an Asturian"
Duco,"Past, Dico, the head.P"
Ducul,"A bump, contusion/ lump, orahump on an uneven road"
Ducut,"And that of Mi, to stoop, or become bent or stooped, like one who carriesaburden on his back"
Dugal,Fervent desire
Dugarug,Manduearus
Dugdug,Manvueduz
Dugmo,"The victim, or the one struck in this manner"
Dugo,Chummy
Dugtung,Dunetum
Duyi,"Spine of fish, fishbones"
Duyan,hammock; swing
Dulum,"To decline, to wane, the moon"
Dulun,"The limit, boundary, and also what is contiguous with my land, I am the owner thereof, Dulun cu ya"
Dulung,"What goes down the river, embarking through it"
Dulut,"The food that those eating at table, give to their children, or relatives, or the desserts that they serve at the table, like oranges, suman, &"
Dumalaga,"Said of the young female of some species, likeahen, which shortly will be laying eggs, and in this sense, it also refers to the young female carabao, cow, sheep etc, which will soon begin to have calves for the first time"
Dumalasan,Alternating
Duman,"The grainsof the glutinous rice nearing maturity, or about to mature"
Duru,"To allure with the merchandise, by displaying them before the public, by laying them out openly"
Duruc,Dumuruc
Durul,"A rule, or plummet, which used to beapiece of lead tied at the end ofastring"
Durun,The locust
Durup,"And its infinitive, durupan"
Durut,"To make turns, like in dancing, and also the whirling of water"
Dusa,Punishment
Dusdus,A certain disease on the scalp
Gabac,"A thing tom, ripped, like cloth"
Gabay,"Garret, awning outside the dingding of the house"
Gabi,"A broken object, likeabroken china jar"
Gabil,A ragged object
Gaboc,Porelain or china jar withacover/lid
Gab-Bon,"Meaning not only what we call lodo, mud, but also what we call tierra (soil, earth, ground), like what the plow turns up, or where they plant, or what they put in the flower pots: all these are Gab-bon"
Gacgac,"The croak, like that of frogs, bellowing of beasts"
Gag-Dia,Elephant
Gaga,"Fray, quarrel, angry reprimand, chirp ofabird, or howling of an animal, not as strong as gacgac"
Gagad,"The one who, that which, Guegad"
Gagto,He could hardly digest the subject of discussion
Gayac,Arrangement or preparationof things foratrip or departure
Galayan,"A species of bananas, that is smaller than the Tanduque"
Galal,"Ectival noun, what is given as an extra (tip) for work done byacarpenter, after having finished it and being paid for it, given in the form of food, or extra money"
Galamay,The legs of the crab
Galang,"honor; respect; reverence (as owed to God, parents, elders, or superiors)"
Galanggang,"N eutral verb, manzalanzzanz"
Galao,"Overactive, hyper active"
Galasgas,"Fluency in talking or reading aloud, fast talker/ fast reader"
Galatgat,"Galatgatan, mix colors with effect"
Galauc,To introduce/dig the hand intoanarrow hole/ the pocket to draw out something
Gamal,Mansamal
Gamat,hand
Gambul,"Cultivated land, loose soil, easily plowed, easy to turn up by plowing"
Gamgam,Clenched fist
Gamogamo,"Those insects, like small butterflies that go afluttering at sunrise"
Gampa,"The more commonly used is Migagampa, migampa, which means, to forge or to plan, or resolve interiorly the execution of something that comes along, or is the result of Sumpong, and is pleased with it"
Gamus,"A scratch caused by claws, like those ofacat"
Gamut,A herb used in witchcraft
Ganaca,"Latin, mens, mentis"
Ganap,"Exact, right, complete, perfect, just, full, faultless, accomplished, consummate"
Gangdang,A drum
Gandus,"An edible root crop, like coleworts/yams, Camotes"
Gan?,"Aptitude, inclination, disposition"
Gan?Ao,Spoiled/rancid wine or vinegar
Gangato,"A big spider, Bagua, these are found among tall grasses"
Gangsal,"An adjective, odd, contrary to Tupd, even"
Gapang,"Man?apar?, is said ofaman who crawls on all fours at night, like seekingawoman with whom he could commit sin"
Gapas,Cropped of hair
Gapgap,"To level, make even or flatten, or to cut something down to the roots withaknife to clear or level the land"
Gapi,"Said ofatree, some of whose branches have been lopped off"
Gapoc,"Brittle, like burnt sugar, or caramel"
Gapus,"Ligated, bound with rope or chains, tied hands, or feet"
Gadgad,to pass haltingly or very close to an object; to scrape along
Garil,the imperfect manner of speaking a language (like a child learning)
Garing,The bracket ofaship
Gasa,"The side, the bulk or the thin wall of bancas"
Gauay,"Manggagauay, to harm by witchcraft/ to bewitch, like doing it by casting out palay"
Gauang,Maneeauang
Gauc,Manauc
Gaud,Eumaud
Gauing,having one hand occupied or carrying something
Gato,"Spoiled thing, decaying, like wood rotting by dampness, or infiltration of water"
Gatus,"Half-destroyed/ almost broken, like strands ofarope, orabrach ofatree"
Gaua,"That with which, or for whom"
Guinday,"Guinde guinday, one clinging to the mapias for support"
Guinguing,Mansinu
Guinot,"To one who could not work due | to illness, they say, Baguia baguia"
Guipu,"Rotten at the bottom, 1 like, the postof a house"
Guipus,"Managuipus, what bumson 1 one side, likeapieceof wood, oracigar that is badly rolled"
Guiray,"N eu tral verb, fu tu re , gumiray, to strut, waddle"
Guiri,a cock courting or wooing a hen
Guisan,"And its infinitive, maneeuisan"
Gulapay,"To walk slowly with effort, due to the weakness of the body"
Gulat,"Dread, fright, horror, like one who says he has seenaghost/spectre, or the like"
Gugul,"Obstacle, impediment"
Gulis,"A stroke, line, mark, a flourish"
Gulmuc,"Gulmuc gulmuc, frequentative, Maca, become crouching"
Gulu,"Tangled, like hair, cotton thread, silk threads, etc"
Gulung,Manssuluns
Gulut,"Shoulders, back, opposite of Arap, front"
Gumamila,"A bush and its red flowers; good for bringing boils, or furuncles to term/maturity"
Gumbac,"Depressions, orahole inastack of palay, caused by taking out some bundles from it, oradepression caused byaplane on the surface ofapiece of wood/lumber"
Gumi,"Beard, or moustache"
Gumuc,"Magumuc, be inanook, or in the mire"
Guna,"Love potion, or love charm"
Ibay,"Maybay, meybay, to become giddy, or faint, become intoxicated for chewing betel nut"
Ibat,"Defective root, may serve as the preposition, of, from where, or the end from which, Ibatan, and this may also meanathing of usefulness, or importance"
Ibpa,"Father, and alsoaword of endearment"
Ibug,"Corporal desires or appetites, of the lower and sensual self"
Ilalid,"Future/frequentative, Ila ilalid, one who joinsasingle file, in order that he may be seen"
Ilang,one who has partially lost their mind; disoriented
Ilao,Light that is offensive or dazzling to the eyes
Ilap,"To look with fierce, or grim eyes"
Ilas,"To stay forafew days in anothers house, or leave things there for some time with the permission of the owner of the house, likeaset of tools, until the anloague returns, orto deposit them there with the consent of the homeowner to keep them safe"
Ilat,one who waits and watches for the return of a friend who may have forgotten them
Ili,"Laughter, and verb, Maili, to laugh"
Ilib,"A tall weed/grass, Cogon, in Tagalog"
Ilic,Manilic
Ilig,What/ which is reclined
Iling,"To expect, to wait for, like Hat"
Ilis,"A c tivev e rb , tocu t inslices , milis, th inne r than alab"
Ilit,to take a pledge from a debtor who will not pay; to keep the pledge
Ilug,river
Ilud,"A c tivev erb and its infin itiv e , milud"
Ilut,"N oun , M ass age , rub bin g , m idwife"
Imala,R oot M
Imalid,to rub or scrub oneself while bathing
Imbala,an adverb or interjection of threat
Imbut,covetousness; greediness; hoarding even worthless scraps
Imic,barely perceptible sound or movement
Imo,to think; to ponder
Imut,stinginess; miserliness
Ina,mother; intention or purpose
Inalay,a small herb that grows into the quiapo water plant when mature
Inang,to solder metals
Inata,a type of grass that grows underwater
Inaua,breath; respiration
Inauac,large silken veil or mantilla
Inda,mother (term of endearment)
Indac,traditional dance of women; dancing performed by women
Indayon,swing; hammock; hammock-style carriage
Indic,to bend the body slightly to one side
Indo,mother
Inim,"Amanuan de manemacaninim, although they scold him, he does not answer, or could not mumble, because"
Inlag,From which one withdraws
Inolonan,"The placenta, or afterbirth, from which the umbilical cord is cut; the midwives are always careful that the afterbirth comes out/ are all out"
Inum,to drink
Ingpis,thinness; leanness
Ingsil,to become out of order; disarranged
Ipay,measles
Ipan,teeth (including the teeth of tools or objects)
Ipas,cockroach
Ipus,something cared for with great attention
Iqui,tail; the trailing end of a skirt
Ira,to sleep over or pass the night somewhere unplanned
Iral,actual presence; personal attendance
Irang,syncopated form of iral; presence
Irao,the color blue; a cock with blackish and white feathers
Irap,eyelashes
Iri,The object
Irid,elegance; graceful bearing
Iris,complaint or moan from pain (e.g. burning oneself)
Irug,condiment or gravy that enhances the appetite
Isa,one; to handle things one by one
Iuad,Maniuad
Iui,Maniui
Yabyab,"To dip in water, likeapiece of cloth, to rinse it"
Yagang,"Enfeebled, grown feeble"
Yagyag,Maevas
Yagquin,"Lean, thin"
Yaya,"Yayaya, inaya, yum aya, manvava"
Yayam,"To steep, to soak again, like what they do to palay contained in sacks made of matting for bailing"
Yayat,"Thin, lean"
Yayul,Ivavul
Yama,"Macayayama, the cause of such pleasure"
Yaman,"Deliciousness, tastiness"
Yariari,Better
Yassiang,"And the regular, Sas-siang, siiang, suiang, to place/putapot on the hearth, or on the earthen stove (tricomered stove)"
Yata,"Of doubt, or conjecture"
Yatab,"A knife used in cutting stalks of grain, one after the other"
Yatyat,Ivatiat
Yato,"Mayato, meyato, said of what is left in liquid, like in an account, or inaharvest, or in cooking/boiling"
Yauad,"Abstract, begging, petition"
Yauil,"Yauilyauil, denotes something that lacks firmness, m aterially and formally"
Yauis,"Distressed, becoming thin, or weak due to pining for love"
Yaus,a call; an interior call; inspiration from within
Yayao,"Seeluad, with its variations"
Yoyo,"Said of nipa palms, which are close to producing tuba: (Consult with those who extract it), and is taken from the young leaves (shoots) of the sasa"
Yocyoc,"Past, inocyoc, or, icyoc, that which"
Yubing,an impoverished formerly rich person; one reduced from strength to helplessness
Yubyub,"And its infinitive, manubvub"
Yuco,"Yucuyucu, or miyucuyucu, to walk dejectedly, or bent/inclined, like an old man"
Yucub,"Bent, crooked"
Yuguing,"Describing one who, being known to be wise, had been rejected/repudiated, and thus lost his credibility/credit"
Yuyut,"Manamuyut, to inveigle with mischievous lies, or stratagem, in order that one may fall, materially or formally"
Yutyut,to pound or press something flat
Yutuc,"To twist, or bend, likeasword, orameasuring rod"
Yumi,"Said ofathing made of metal, like lead, copper, that softens and loses its shape"
Yumu,Sweetness
Yunat,Manunat
Yunut,"The thick end of cables, or the tree and its hemp, Buac tamping, abaca hemp"
Yungdo,"to nod the head (from old age, sleepiness, or feebleness)"
Yung-Go,Ivunsso
Yungyung,"Maca, being inclined/ bowed"
Yupi,"Dented, likeakettle"
Yupit,"Said ofawood, or piece of lumber that hasadefect, that is, not of equal thickness, not usable in manufacturing something"
Labi,"Labin metung, eleven, what is over ten, less than twenty, Neutral verb, Imaglabi, one who has over, or is over, like in accounts; to adjust or balance them, or to give more, rarely used"
Labis,"The edge, or border ofaskirt, that touches the floor"
Labni,"A species of rattan, thicker than the ordinary rattan; used for fastening or bundling, for lack of the ordinary rattan"
Labnut,"To pull out the hair, the feathers, to nip the tops of grass, to nibble, or to skin"
Labon,"Fragrant fumigation/ smoke, like that of burned incense"
Labong,"A sprout, a shoot ofabamboo"
Labsac,"To destroy, or squander, like in spending prodigally; also, to lay waste, to make desolate an open country, arable lands, or destroy cultivated fields"
Labsan,"Labsanlabsan, the things that are held in the hands throughout the day, be it the daily dress, or any other thing, like the apparel, or furnitures in daily use"
Labuad,"Upland, opposite of Dayat, lowlands, wetlands"
Labuc,to dive; to plunge headfirst into water
Labog,"Turbidity, like that of eyeglasses, or of dirty water, or of hazy vision"
Labuyan,"Malalabuyan, clothes somewhat worn out/used"
Labuyo,wild; untamed (of a cock living in the forest); fierce by nature
Lacbay,"I.Lacbayan, licbayan, the distance traveled, or itinerary passed through, like that from A rabia to Bethlehem, the Paglacbayan, destination, or the end, or purpose of the journey, or trip, like Bethlehem, to adore the Child Jesus"
Lacbang,"Pace, or step"
Lacdat,trail; a path or track
Lacdong,"Large step, long stride"
Laclac,"To drink facing downwards, likeadog, and also, nipping or snapping with the teeth, likeapig oracrocodile"
Laco,Merchandise which has more deceptive aspects than substance; more apparent than real
Lacsa,Ten thousand
Lactao,"And its infinitive, manlactao"
Lac-Cuay,"Malac-cuay, marayo"
Lacuan,Irregular passive
Lacuas,"More, much"
Lacusut,"And Maglacusut, to rub the body against, or cast it on the floor, when one is inabad mood to comply with what is commanded of him"
Laga,"To cook, in general"
Lagad,"Sparseness, rareness, even of species, manner of doing anything, or badly woven (texture), or their scarcity"
Lagadgad,"N eutral verb , to tinkle / sou ndb ydragg ingthee n d /tipof apo lebe ingc arr iedb ehinda ndtouc h ingtheg roun d"
Lagay,"N eutral verb , fu tu re , Lagay, and that"
Lagan?An,crucible for gold; brazier for silver; forge for iron
Lagapac,loud crash or crackle of something falling; burst of laughter
Lagari,"N oun , a saw"
Lagas,"A d jectiv e , a th ingfa lle n , like a tooth , astepo f thes ta irs , a leaf"
Lagat,Stewed/sauted
Lagaua,"Shortly, swiftly"
Lagda,"Design, sketch - rarely used"
Laglag,"One who is cast away, or is left in this manner"
Lagmac,"Distinct from lagpac, which means the crashing sound of any falling part of an object; lagmac means the fall of the whole, likeadilapidated house, not the falling of one room, but the fall of the whole"
Lago,"Tenderness, softness, likeagreen fruit, or the shoot ofaplant"
Lagolo,S lightlydiffe rent fro m Galogo
Lagpac,to crash or fall with a loud noise
Lagpus,loosened; coming undone from being badly tied
Lag-Guac,"putrefaction ready to dissipate or break out, like in an abscess or tumor"
Laguac,rumbling of the intestines from gas
Lag-Guay,"N oun , leng than d stre tc h"
Lag-Guio,name; appellation; what something is called
Laguit,slime; slippery film on a surface
Laguitic,to creak or squeak (as a bed)
Laguc,"N eutral ver ban d Laguclaguc, tosip /sap them uco u s , likew hat child rena reus edtodo in g"
Laguntac,"NeutralverbandM icalaguntac, saidof therain thatkeepsonpou ringhard"
Lagusao,to bubble up noisily (as a crocodile or fish surfacing on the water)
Lagusgus,noise made by running through thickets
Lagutuc,"N eutral verb , laeutuc"
Laya,"N oun , G inge r"
Layac,"Refuse, sweepings, garbage"
Layag,"The sail, sea voyage"
Layas,"Pusang layas, stray cat, damulagalayas, stray carabao, like a Moor without the Lord; which means extremely free, not knowingafixed place (wild)"
Layo,"A thing well cooked on the outside, but rare in the inside"
Laid,Lairan
Latyi,"A point, like that ofaknife"
Lain,Leaves or stems of the gandus (gabi/yam)
Layog,"High, towering, like the palm trees, a tower"
Layon,"And going ahead, proceeding further, besides this, or that"
Laiypan,A centipede
Lala,"A woven object, likeapalm-mat"
Lalab,To spend prodigally
Lalat,"Scarcely, hardly able, with difficulty, with effort"
Lali,Manlali
Lalic,"Lathe wheel, the work ataspinning wheel"
Lalip,excess in general; surplus
Lalo,// Regular
Lamac,A gift brought fromalong trip
Lamas,A thing that is incorporated/intimately united to another
Lamat,"A crack, break, rent, like inaflagstone"
Lambac,to beat or strike with a flat object
Lambay,"The length, like thatof a measuring rod"
Lambal,"The thread for sewing silk, or cotton"
Lambang,"Split bamboo, or stick on which the Salauay of the roofing i? encased; no longer used"
Lamban?An,"Rice dispenser, the receptacle/ vessel intended for putting in it the cleaned rice destined to be used for cooking"
Lambat,Duration of time
Lambilambi,"The colored wattles ofacock, or the loose fold of skins hanging under the throat of an ox"
Lambing,"And its frequentative, or Passive , that which is let hanging in this manner, lambing, clinging with lam bing endearment"
Lambis,"Or, Calambisan, the caress and cajoling ofachild"
Lambo,"Lankiness, leanness"
Lambuyuc,"The hollow, or rounded indention/curve, or concavity made byahammock, a pouch, oramoneybag"
Lambut,"Softness, and with lub, formal or moral softness"
Lamiran,Mountain cat
Lamlam,"Malamlamapilubluban, cold, tepid, without fervor"
Lamo,"Bamboo raft, used in crossing the river, or to ride on along the river, or to transport the rice seedlings"
Lamoc,"Little pieces of coins, like the sicaualos, in contrast to the pesos"
Lamococ,Inner rind of the luyos fruit (betel nut)
Lamod,Bruised/pounded object
Lamon,"Land that has plenty of water, and grows grass"
Lamos,Rub with what
Lampa,Weakness (physical and moral)
Lampacan,A vessel with water so ants could not climb up
Lampay,A bowl larger than the sulyao
Lampan,Cooked fish
Lampin,"Diapers, swaddling cloth"
Lamuyung,"Little fruits; they are medicinal, and red in color"
Lanat,Withered
Landa,"A shaft, like that ofalance: gaud"
Landang,Indisposition of the body
Landi,"Immodesty, debauchery, (opposite of Datnd), impudence ofawoman"
Landoc,"Maca, the jawbone is more protruding below"
Lanic,Manlanic
Lanubo,a new shoot growing from an uprooted tree or a cut stump
Lanoc,"Lanoclanoc, frequentative"
Lansag,"To throw by flinging, like plates by smashing them"
Lansan?An,S treet
Lanta,S yno nym oflanat
Lantang,to spread flat; to lay something open
