Kapampangan,English
Muli ta na,Let’s go home
Mako na ka,You can go/leave
Atiu na ku / Atiu na kami,I’m here / We’re here
Nokarin ka munta?,Where are you going?
Nokarin ka ibat?,Where have you been?
Makananu munta king,How to go to
Saliwan ke ini /ita,I will buy this/that
Buri ke ini/ita,I likes this/that
Pilan na ka banwa?,How old are you?
Nanu maliari kung daptan keka?,What can I do for you?
Lakwan da ka,I will leave you
Mimingat ka,Take care
Mekeni(contracted: Munta ka keni),Go here
Munta ka karin,Go There
Wa,Yes
Ali,No
Tuknang,Stop
Galo,Move
Lagwa,Faster
Panagkas,Curse/swear words
Metung,One
Adua,Two
Atlu,Three
Apat,Four
Lima,Five
Anam,Six
Pitu,Seven
Walu,Eight
Siyam,Nine
Apulu,Ten
Dinalan,One Hundred
Adwang dalan,Two Hundred
Manyaman,Delicious
Maslam,Sour
Matsura,Ugly
Marimla,Cold
Mapali,Hot
Malati,Small
Marayuput,Viscous
Malanyo,Runny/Watery
Madagul,Big
Makuyad,Short
Dakal,Plenty
Ditak,Few
Makaba,Long
Matas,High
Mababa,Low
Mataram,Sharp
Malabug,Blurry
Maraya,Bloody
Malangi,Dry
Malisangan,Sultry/Humid
Mabanglu,Aromatic
Mabuluk,Stinking
Malawut,Far
Malapit,Near
Matas ya,It is high
Malalam ya,It is deep
Mitmu / sapak,Full
"Malagu ka (female), Masanting ka (male)",You are beautiful/handsome
Malagad,Rare
Maralas,Frequent
Paralayunan,Direction to the fields
Samal,Too much excited
Masala,Too bright
Madalumdum,Dark
Malulam,Overcast
Mauran,Rainy
Makalbug,Flooded
Madinat,Dirty
Matalusad / Mataluras,Slippery
Sabla,Every
Póta,Later
Keni,Here
Keta / Karin,There
Kayli,Left
Wanan,Right
Babo,Up / Overhead
Lalam,Low / Underhead
Manik,Go Upstairs
Tipa,Go Downstairs
Papalub,Going inside/Inward
Papaluwal,Going outside/Outward
Albugan,Westward
Amianan,Northward
Aslagan,Eastward
Abagatan,Southward
Ima / Indu,Mother
Tatang/Ibpa,Father
Pengari,Parent
Koya,Older brother
Achi,Older Sister
Kapatad,Sibling
Ingkong,Grandfather
Apu,Grandmother
Dara,Aunt
Bapa,Uncle
Pisan,Cousin
Wali,Younger Sibling
Pisan alang pilatan,First Cousin
tanaman,Plant
Sampaga,Flower
Punu,Tree
Ayup,Bird in general
Dagis,Mouse
Asu,Dog
Pusa,Cat
Babi,Pig
Sese,Pet
Sisi,Chick
Luklukan,Chair
Pasbul,Door
Bale,House
Awang,Window
Eran,Stairs
Danum,Water
Pamangan,Food
Pader,Wall
Saken,Vehicle
Tete,Bridge
Sulu,Light
Malan,Clothes
Salol,Short pants
Ulnan,Pillow
Ulas,Blanket
Pitudturan,Bed
Ayun,Earthquake
Pangabait,Birthday
Salol,Short Pants
Sambra,Sweater
Balen,Town
Lakanbalen,Capital
Dinan,Give
Munta; Went – Minta,Go
Lakwan,Leave
Dugpa,To land
Sulapo,Fly
Pulayi,Run
Lukdang,Jump
Dakurak,Step on
Manako,Steal
Mangoryet,Pilfer or Filching
Tuknang,Stop
Kumwa,Get
Manyawad,Ask/Request something
Sali,Buy
Gili,Slice
Gulisakan,To shout
Sumabi,To Speak
Pyalungan,To play
Babandian,To own
Miblas,To wear/don clothes
Samasnan,To fix
Pututan,To cut
Mangamanung kapagmasakitan,To apologize
Ilupan,Slurp
Aldukan,Gulp
Makipagtalamitam,Actively Participate
Awsan,To call
Mamipi,To wash clothes
Mamadwas,To catch fish
Banwa,Year
Bulan,Month
Aldo,Day
Oras,Hour
Minutu,Minute
Mapupus ning <bulan>,End of <month>
Pota,Later
Ngeni,Now
Maranun,Early
Mitalwi,Arrive Late
Buntuk,Head
Mata,Eyes
Balugbug,Ears
Arung,Nose
Lupa,Face
Kanuan,Forehead
Batal,Neck
Tundun,Nape
Asbuk,Mouth
Ipan,Teeth
Dila,Tongue
Takde,Upper Arm
Gamat,Hands
Taliri,Finger
Panuldu,Forefinger
Tindaragul,Thumb
Kuku,Finger Nails
Siku,Elbow
Bitis,Feet
Dungus,Upper Stomach
Atiyan,Lower Stomach
Pusad,Navel
Salu,Chest
Pago,Shoulder
Papaluan,Hips
Buldit,Buttocks
Tud,Knee
Lulud,Shin
Puad,Upper Leg
Butit,Lower Leg
Bugal,Rectum
aku,Am saying; do say. ngamu; ngaku; ngana; ngara
ana,Girls name; Ana. he said
anidyu,Honeydew
atul,Decision. atup/atap; of roof; to put on roof; flatulence; affect another with ones flatulence; kind of fruit
abak,Morning; to become morning
abaka,Abaca plant; hemp fiber or cloth
abala,Worry; bother; to worry or cause worry
abe,To accompany; friend; companion; to live together
abisu,Warning; subpoena; to warn someone
ablas,Morning; to do something until morning; to become morning; to return something in kind; echo; revenge
abo,Leftover food
abono,Fertilizer; to fertilize
abril,April
absang,Gnat; fruit fly; a very small insect
absiq,Satisfied with respect to hunger; full from eating
abu,Ash; ashes; to become ash
abugadu,Lawyer
abukadu,Avocado
abulud,To remove the center rib from a leaf; to put a crease in something
abusadu,One who takes unfair advantage; abusive person
abut,To reach something; to hand something over; to grasp or understand
abyas,Milled rice; husked rice
acata,Large
adiq,Said; to grate; scrape; stool; place for scraping; pray - pray for something; pray together; - pray together for
adjar,Grate; scrape; stool; place for scraping
admirul,Starched
adwaq,Two; the second one; to do something a second time
agad,Immediately; straightaway; at once
aginaldu,Christmas gift
agiq,Spider web; cobweb; covered with cobwebs
agkat,To summon; to invite; to signal
agosto,Month of August
agtal,Harvest; gather; nagtal the harvest; place of harvest
agum,Associate. agum join group; an association. associate; concomitant
agus,Current; flow of water
agyang,Even; in spite of; although
agyap,Cold sore; have cold sore
agyuq,Sufficient
akasya,Acacia tree
akbak,See dictionary entry
akbung,Explosion; a spit or skewer of bamboo for barbecuing; a toy pop-gun made of bamboo
akit,Earnings; income
aklat,Book; library
akmul,To swallow something; the throat
aksayaq,Extravagant; wasteful
aksidenti,Accident; to have an accident; to be hurt in an accident
aku,Short form of aku
aladin,A type of fuel-burning lamp
alak,Liquor; alcoholic drink
alakdan,Scorpion
alal,Election; manner of electing; polling place; elect repeatedly; get someone elected; alal cause election; be elected
alalay,None; things; be lost unintentionally; walaq be lost; go along in denying; deny; denounce; election; manner of electing; polling place; elect repeatedly; get someone elected; alal cause election; be elected; alale care. prop; support; something; beware careful (e.g. speech)
alambre,Wire; barbed wire
alas,Combination with numbers; as alas singko five oclock. bungang alas alas ace (in )
alat,Salty; ocean. alataq/ alatadu
albe,/qalatadu; albe watch. watch something; ayalbe
albug,Flood. albug; flooded regularly; albug
albugan,Place where the sun sets; be caught by nightfall
albul,Drying device for fishnets
albularyu,Folk doctor. see
alburutu,Noise; make noise
aldo,Sun; day; birthday; anniversary
alikabuk,Dust; dusty; covered with dust
alili,Change something; alili changing; lili/kayalili successor
alimasag,Spotted crab. alimbawaq; example. giving of examples; thing used for an example; the best example; alimbawaq give an example; make into an example; alimpuyuq; mole. mole; alimpuyuq put on fake mole; full of moles. alipungaq; athletes foot; suffering from athletes foot; conducive to
aliq,See dictionary entry
alistu,A skillful and lively person; acting skillfully
aliwaq,Other; different; to change something; change; difference
alma,Female name
almaq,Almaq rear up. almuranas; hemorrhoids
almusal,Breakfast; to eat breakfast
alpaq,Kind of vegetable; ampalaya
altar,Altar; house shrine
alti,Thunder; (?lightning?); Usually this word is used in curses; as: dipaning alti!
alulud,Thunder; (?lightning?); Usually this word is used in curses; as: dipaning alti!; eaves and drain of roof; heavy drinking. shins; barked shins
aluminyu,Aluminum; cheap money (new coinsas contrasted to the older coins with more silver content)
alun,Wave; motion; wavy; be in wave
alus,Nearly; almost. alwagi/ aluwagi
ama,See dictionary entry
amad,Carpenter; pleasing. conducive to pleasure; cartilage. selfish person; stringy
amanu,Word; language; speech
ambag,Contribution; to contribute
ambun,Dew; overcast; misty; about to rain
ambuq,Nickname for
ambus,See dictionary entry
amiyam,Winter; the cold season from October to January
ampil,Ampil stack; stacked. ampo/ ampon
amuk,Mosquito; be by mosquitoes; be full of mosquitoes
amurikut,Kind of grass or weed with pronged seeds
anak,Child; offspring; adopted child; godchild; to give birth
anam,See dictionary entry
anatis,Atis; kind of fruit
andam,Borrow
andas,Serrated edges (of cloth). Simon Andas; famous Spaniard who once transferred the seat of Spanish government to Bacolor
ane,Termite; full of termites
angga,Antinganting use; -tanus to prevent rabies; tetanus. (Subcombiner) later; and then; so. often combined with uling; as: anyaq; bisang uling asan tuyuq; And so thats why you dont want to eat at our house because our course is dried fish; nangka; fruit; until; boundary; angga reach as far as; journey to
anggiq,Spray; blowing rain; is raining and blowing
angin,Wind; the wind is blowing; angin held in the wind; windy (season; people)
ango,Derived
animal,Animal; also used as curse
antak,Female sexual organs; sexually attractive. anting- anting
ante/anta,Where with reference to moveable
anti,Like; compared to
anyaq,Angkaq/ yangkaq
anyaya,See dictionary entry
anyayaq,Anyayaq get (of wound)
anyeho,See dictionary entry
apa,Salt; brains; cleverness; to salt something; asin; unintentionally salted
apalit,Cone; crust (as; an cone); bran; especially rice bran; narra; kind of tree; Apalit; town in
apalyaq,Vegetable; ampalaya. person with sour disposition
apan,Bait; bait something; apan put out bait; bait each other
apat,Bait; bait something; apan put out bait; bait each other; four. fourth; -banwa spend four years. apendisitis; appendicitis; suffered from appendicitis
apiq,Lime (calcium oxide); used in cement; and as component of fire; flame; spark; is sparking; is on fire
aplaya,Beach probably recent borrowing; more commonly: apon/apun; Japanese; Japan
apqap,See dictionary entry
apu,Grandchild
apuluq,See dictionary entry
apun,Afternoon; the whole day; supper; eat supper; able to eat supper; serve supper; similarity; Apus; You are me look like him. yapus; aral study; go to school; be sent to school; -an lesson; arap/arapan the front; be situated in front
apus,Similarity; Apus; You are me look like him. yapus
aral,Aral study; go to school; be sent to school; -an lesson
arap,Arap/arapan the front; be situated in front
arayat,Arayat
are,Usually rice straw. argabyadu; aggravated. ari/yari/ yariq; finished. finished; finish something; ariq happened
ari/ariq,Constellation
arina,Flour; especially casava flour
arinola,Chamberpot. arihiya; things customarily disapproved; statements of customary disapproval
arkila,Hire; rent something
arnis,Self-defense sport
arsobispo,Archbishop
aru,Something like Wow!
arung,Nose; put on airs
asag,See dictionary entry
asan,Nose; put on airs; of pressure lantern; fish. viand; food eaten with rice; asan; as: nanung? What did you eat with your rice?
asang,See dictionary entry
asaq,As -an put hope in someone
asawa,Spouse; like mortar and; person; asawa get; asawa arrange; have sexual; asawa have someone to someone else; - rape someone; asawa be
asbuk,Mouth; argue
asik,Asik farm; nasik rice farmer
asin,Asik farm; nasik rice farmer; salt; brains; cleverness; to salt something; asin; unintentionally salted
asintado,Clever; accurate
aslag,Light from heavenly body; place where the sun rises; east
aslam,Light from heavenly body; place where the sun rises; east; vinegar; sour; add vinegar to something; aslam use something to sour
aslat,Caught in broken aspak; crack; cracked; apayaspak
astaka,Stake; astaka place stakes; bound with stakes
asu,Asu dogs (in place)
asuk,See dictionary entry
asul,Blue; asul dark blue; asulasul light blue; wearing blue clothes
asung,Mortar
aswang,Frightening spirit creature; said to prey on corpses and unborn; made victim by an aswang
aswe,Comb. harrow; aswe use harrow. comb; have hair combed by another
asyag,See dictionary entry
asyas,Post (e
at,Post (e.g. and; Sometimes that; as: at bala its good that you know
atab,See dictionary entry
atad,Escort away from home to another place; atad
atake,Attack; stroke; victimized by stroke
atbu,See dictionary entry
atcan,Stomach; hit someone in stomach
atcaq,Stomach; hit someone in stomach; throw; threw; throw something to somebody; ayatca. style; place something was thrown
atcara,See dictionary entry
atcing,Sneeze; is sneezing
atcu,See dictionary entry
atduq,See dictionary entry
ate,See dictionary entry
ati/atin,There is/there are; wealth; be wealthy
atik,See dictionary entry
atlu,Money; wealth; three. third; third time; -three. Feast of Three; constellation
atni,See dictionary entry
atras,The back; rear; retrogress
atrasu,Omission; failure; atrasadu late. atcaka and also. later
atsi,Older sister; Also used as term of polite address to women; as: Atsing Edad; Atsing Son
atut,Atyesa/ atcesa
aul,Guess something; ula-
aunus,Portion; share
aus,Call; summon. aus; call someone
awak,Large bird of prey; crow or hawk
awakan,Waist. /- yawad; menyad/; inyawad/inawad; yawad
awang,Window
awe,Kind of similar in appearance
awni,Alternate form for oini
awta,See dictionary entry
ayri,Works by of air
ayun,Alternate for oita; works by of air; agree go along earthquake; earth is quaking
ayup,Bird. -pan
aywe,Highway
ba,(Subcombiner) in order to
ba:bagwaq,Spider. babagwaq singgagatu; babagwang bale; babagwang
ba:gyaq,See dictionary entry
ba:laq,Responsibility; warning; concern as: you are in charge; you decide. doesnt; warn someone about something; give one responsibility; the government
babai,Coconut shell. bikan lalaki (top half of c.s.); bikan babai (lower half of c.s.). skull
babaq,Low place; underneath; old name of the town now called Lubao; babaq; lower; put down; disclose; set forth; babaq lower something; baba go down; have something brought down; ababaq
babiq,See dictionary entry
bablas,Get dressed; bablas be dressed; dress someone else
babo,Chin; low place; underneath; old name of the town now called Lubao; babaq; lower; put down; disclose; set forth; babaq lower something; baba go down; have something brought down; ababaq; woman; binabai wife; binabai girlhood; / pursuing women; wild; binabiq careless; binabiq be careless; act like; get dressed; bablas be dressed; dress someone else; Prep.) up; upstairs; above; put something on top; able to go on top; leading (in election); -paliq easily angered
babuq,Childrens word you fall
bagang,Molar tooth
bagaq,See dictionary entry
bagasu,See dictionary entry
bage,Compatible; something to something else; thing; object; affair. small things; details
bagin,Vine; bagin swing on vine
bagsik,Pulp; the of the sugarcane which is discarded after; sawdust; compatible; something to something else; thing; object; affair. small things; details; vine; bagin swing on vine; be cruel; annoying; babagsik harrass
baguk,Fermented foods
bagun,Railroad car. baguneru conductor; bagun use railroad car to carry
bagut,Draw; chance or turn; withdraw something; pull something out; withdrawn; little bit.bagyaq little-; tropical storm; typhoon. showoff; babagyu typhoon is blowing
bagyu,See dictionary entry
bagyus,Feathers; long wing feathers
bah/abah,See dictionary entry
bain-tau,See dictionary entry
bait,Bait; bait something; apan put out bait; bait each other
bakal,Bakan/ bakante
bakas,Sign; babakas; make; something; have something
bakbak,Lunch; food carried along when on trip; bakal carry ones lunch; able to carry something; unoccupied; sign; babakas; make; something; have something; scar; scab; skin; off something
bakit,See dictionary entry
baklad,Canal in fishponds or sea
bakle,Yoke. warp; or woof; in weaving; bakle; bikle put something across something else; out of condition; in bad mood
bako,See dictionary entry
bakse,See dictionary entry
bakud,Yoke. warp; or woof; in weaving; bakle; bikle put something across something else; out of condition; in bad mood; wood (used for firewood); where wood is collected for charcoal; red heron; babakse; be able with others; fence; put up fence; fence something in
bakulud,Bacolor; town in plain; plateau; high level rocky place
bakwe,Bakwe smoke with burning of cigarette or cigar inside mouth; babakwe
bakwit,Kind of bird
bakyum,Sonic boom (from Eng. vacuum)
bala,Course!; Thats how is!; Well; what else?!; bachelor; unmarried also used of young carabao. one who is being bachelor. born. born; birthday; responsibility; warning; concern as: you are in charge; you decide. doesnt; warn someone about something; give one responsibility; the government. bala you would think; seems; apparently. bala think so; seems so to me
balabaq,Cut something down
balag,Drop out; fall accidentally; dropping repeatedly; caused to drop; dropped; had an abortion; balag dropped
balai,Trellice; drop out; fall accidentally; dropping repeatedly; caused to drop; dropped; had an abortion; balag dropped; father of child as he stands related to the father of his childs spouse. be related as balai; arrange; abalai be made balai of someone
balakang,See dictionary entry
balang,Kind of said to be destructive to coconut trees
balangaq,Clay pot; used to cook viands. also used as nickname
balanggut,Grass or reed which grows near river banks and is used to weave and hats
balangkas,Framework; babalangkas; construct; belangkas; balangkas; abalangkas; apabalangkas
balas,See dictionary entry
balasenas,Bullet; bullets; sand; Also the name of barrio of Bacolor; feels sandy; eggplant; with the sense
balasubas,Nipa wine; selfish person
balat,Birthmark; skin (human; animal; fruit); bark; crust
balatong,Mongo bean
balatuq,Where one who has come on some good fortune all the expenses
balawe,See dictionary entry
balbal,Shattered; the left when something has shattered; abalbal; apabalbal
balbaru,Bearded person
balbas,Beard. fake beard; bearded; shave self; get shaved; let beard grow; tell someone to get shave
baldadu,Crippled; lame; baldadu; apabaldadu
baldug,Beard. fake beard; bearded; shave self; get shaved; let beard grow; tell someone to get shave; crippled; lame; baldadu; apabaldadu; fall down. bildug; fell accidentally; baldug caused to fall; baldug cause to fall; translate; let self drop behind others; -handerchief
baldugan,Lending system; called; daily
bale,Post (e
balen,House. house owner; housewife; neighbor; town. townmate; the town proper; the townspeople; related to each other as from the same town; civic
balentino,Name; Valentino
balid,See dictionary entry
baligtad,Crooked; twisted; balidbalid ungrammatical speech; errors in grammar. backwards; reversible cloth; political turncoat; one who speaks ambiguously; tumble backwards; baligtad; baligtad reverse something; turn something
balik,Woven shopping bag or basket; balik return; balik return something; return to somewhere; return something; opposite; opponent. reverse
balikubak,Dandruff
balikuku,Curved
balimbing,Person who backbites; says nice things in your presence but derogates you in your absence; somewhat sour; segmented fruit
balimbingan,Edge of ear; to flick edge of anothers ear; as punish
baling,Smelling of urine
baliq,See dictionary entry
balisa,Restless; constantly moving
balitang,See dictionary entry
balitaq,See dictionary entry
balitiq,News; clue; spread news; tell someone something; share news; someone; level; grade; rung of ladder; repair or ladder rungs; species of tree; said to be favored place of spirits; barrio of San Fernando
balobalo,Fermented delicacy
balok,See dictionary entry
balona,See dictionary entry
balsamu,Concoction; made from boiling gizzard of duck or in salt and water; Said to be remedy for appendicitis; cuffs; dibalona; balm. balsameru/ embalmer; to embalm someone; embalmed
baltang,Knowledge; people who know; know something; tabaluq dont know; take shortcut. able to be shortened; shortcut; the taking of shortcut
balu,Widow; widower
balubad,See dictionary entry
balugaq,Negrito generally used as term of opprobrium
balugbug,Ear(s); bottom of the fruit; gizzard
baluktut,Cashew (Queen of the fruits; because sits on throne); bent; curled up. in bent position; got bent; baluktut
balungus,See dictionary entry
baluq,See dictionary entry
balusbus,Babalusbus winnow; balusbus; to over the of something
balut,Aged but unhatched duck egg eaten as delicacy; snack
banahaw,Name of mountain
banal,Holy; sacred; Ding Banal The Holy Scriptures; be holy; pretend to be holy; make oneself holy
banayad,See dictionary entry
banda,Holy; sacred; Ding Banal The Holy Scriptures; be holy; pretend to be holy; make oneself holy; slow (speed; e.g. in driving); reduce speech; decelerate; band; be in possession of band; proceeding; towards; go towards; move something; something can be movedl; situated towards
bandalaq,Woven basket; large; with handles
bandi,Wealth; possessions. owner; treasurer; possessions; possess; owning; rich; richest
banduriya,Combo; usually guitar and sometimes accordion
bangal,Jar made of clay; often for holding drinking water; divide; split. babangal; binangal; division
bangaq,Hardwood; like
banggera,Storage place. child
bangiq,Rice crust; the rice at the bottom of the pot
bangkasu,Woven coverless basket; like salikap but with rounded corners
bangke,Corpse
bangko,Bank; where one stores money; put money in bank
bangkud,Toollong pole with curved bladeused for cutting bamboo; cut with bangkud; bangkud
bangkuq,See dictionary entry
banglu,Fragrant
bangnas,Stale; get stale
bangungut,Have nightmare; be affected by seizure during sleep; Sometimes fatal and said to be caused by of rice; Old folks disapprove discussing this
bangus,Disease of skin on face near mouth; sign of curse. used to tease
banlik,See dictionary entry
bansag,Silt; erosion; Name of sitio in Bacolor; silted over; alias; nickname; famous; nickname someone
bante,Guard; watch over; binte; bante; fishpond caretaker; watching place; waiting shed
banting,Guard; watch over; binte; bante; fishpond caretaker; watching place; waiting shed; wires used to brace nipa houses in typhoons; banting put up bracing wires; braced
bantu,Dilute something
bantut,See dictionary entry
banus,Furled leaf. rice delicacy of the suman type; wrapped in banus
banwa,Furled leaf. rice delicacy of the suman type; wrapped in banus; year; whole year; first year; annually; annua1ly; going on one year
banyu,Bathroom
bapa,Uncle. (./D./V.)
bara,Obstacle
baradu,Stuck; stopped up; stop something up
barag,Large lizard
baraku,Stud hog; goose; horse; carabao; human)
barandilyas,Balustrade; or the of wall with balustrade and shutters
barasu,Bicep.. brasus
barbero,See dictionary entry
barena,Drill; auger
bareta,Crowbar; use crowbar; use crowbar bareta; worked on by crowbar
bariku,Nickname for Evaristu
baril,Gun; to shoot
barkada,Barber. barbiriya barber shop; gang; ones group of one related to speaker as of same gang; make to join gang
baroki,Clay balls used as ammunition
barongga,Barongga throw something; throw at something; -can
barug,Dress; shirt; clothing; put on dress; wearing dress; dress someone; beat someone; whip
baruq,See dictionary entry
baruyaq,Fry in flour
baryu,See dictionary entry
basa,Recognized. acquaintance; akabasa
basaq,Barrio; barrio folk; be from the same barrio; read. saq; reader; wet. moist; basan wet something; soak something; something; basan rag
basiq,Alcoholic drink made from sugarcane
bastag,Consolation prize
bastardo,Child
bastun,See dictionary entry
bastus,Rude; crude; bastus the name of one of the suits of cards in monte; to act crude to someone
basu,Use glass
basulto,See dictionary entry
basura,See dictionary entry
bat,See dictionary entry
bata,Long clothing; bathrobe
batakan,Resistant; full of endurance; of wood from guava tree; shaped like seven and used in circumcisions
batal,Neck; hit in the neck
bateriya,Battery; e.g. flashlight batteries
baterul,Small bowl for sauce
batibu,Has stamina
batik,Skin blemish
bating,See dictionary entry
batu,Lost; stone; rock. sakit batu; batung sandstone; batung; stone someone
batwin,Star; starry
batyaq,Used for laundry!
bau,Smell; babau smell; bauan smell something
baul,See dictionary entry
bawal,Prohibited. prohibited; really; prohibit something; bawal
bawang,Garlic; kind of firecracker. kind of vine the leaf of which smells like garlic
bawas,Smell; babau smell; bauan smell something; chest. prohibited. prohibited; really; prohibit something; bawal; garlic; kind of firecracker. kind of vine the leaf of which smells like garlic; deduction; what is; what has been subtracted; bewas
bawiq,Quality of fruit
baya,See dictionary entry
bayabas,Guava(s); kind of fruit. place where there are guavas; gathering guavas
bayad,See dictionary entry
bayag,Ember; make glow; make something glow with heat; guava(s); kind of fruit. place where there are guavas; gathering guavas; babayad; testicles; hit in testicles; hurt in the testicles
bayansel,Bayansel work as; work on
bayat,Bayansel work as; work weight; babayat get heavy; make heavier; heavy
baylyerina,Taxi dancer
bayo,Affinal siblings. organization brothers or sisters; bayo pretend to be bayo; became bayo; be related as bayo
bayu,Affinal siblings. organization brothers or sisters; bayo pretend to be bayo; became bayo; be related as bayo; newly; before; changing; being changed; pound; grind; bayu
bayutuk,Bend; beyutuk bend something
be:nusan,Furrows; long line of rice
bebe,Beach probably recent borrowing; more commonly
belen,See dictionary entry
bendisyon,Edge; especially of body of water; situated at the edge; bebebe go along the edge; creche; Christmas nativity scene. female name; blessing; benediction
benggansa,Vengeance
bengi,Night; evening. last night; bengibengi nightly; be by night; stay overnight; do something overnight; be by night because of something
bente-nwebe,Switchblade (29
bentilador,Electric fan
berde,Green. greenish; speech
besyung,Nickname for Florencio
betobetoq,Gambling game with three dice; play betobeto
betute,Delicacy; stuffed and roasted frog. pregnant woman
bewang,See dictionary entry
bibi,See dictionary entry
bibingka,Cake delicacy of different varieties; e.g. bibingkang duman; bibingkang
bida,See dictionary entry
bigaq,Coconut shell. bikan lalaki (top half of c.s.); bikan babai (lower half of c.s.). skull; kind of dessert made from glutinous rice; folk tale; story; high clouds; halo around the moon
biglaq,Suddenly; straightaway; biglaq; do something; abruptly
bihilya,See dictionary entry
bikan,Coconut shell. bikan lalaki (top half of c.s.); bikan babai (lower half of c.s.). skull
biko,See dictionary entry
bilad,Dry in sun (clothes; rice; fish; wood). bilad; bilad; place for drying
bilang,Count; total; lang; bilang
bilas,Suddenly; straightaway; biglaq; do something; abruptly; religious restrictions such as fasting on specified days; dry in sun (clothes; rice; fish; wood). bilad; bilad; place for drying; count; total; lang; bilang; wife of or husband of
bilasaq,Overexposed (humans; -sale)
bili,Put down; drop. put something down; bili
bilis,Swift; fast; speed something up
bilug,Put down; drop. put something down; bili; swift; fast; speed something up; round. bilugbilug very round; make round; form circle; bilug; entirety; full moon
bilyakuq,Type of banana
binambang,Type of rice
binglad,Small grains of rice
bingut,Harelip
biniq,Bangus at stage of growth larger than biniq but smaller than adult
bino,See dictionary entry
binting,Centavo coin. binting walu coin. given as examples of obsolete
bintul,Net for catching crabs; use bintul
binyag,Seed; seedling; wine drink)taken by women as for difficulties or after giving birth; centavo coin. binting walu coin. given as examples of obsolete; net for catching crabs; use bintul; christening; baptism. baptismal ceremony; bap. ceremony; baptise someone; binyag have someone baptised
binyas,Large bones of limbs
biriya,See dictionary entry
biruq,Substance used for leaks in bancas; also used as for boils; joke. one teased; tease someone. biruq
bisagra,Want hinge; hinges
bisaq,See dictionary entry
bisita,Visitor; visitation; visit; bisita
bisitas,Chapel
bistu,Size something up
bisuguq,Kind of fish
bisyu,See dictionary entry
bitaul,See dictionary entry
bitbit,Carry with arm(s) hanging fully extended
bitin,Vice; hobby; custom; preoccupation; howling; bibitaul; carry with arm(s) hanging fully extended; hang oneself; python; squeeze someone
bitinan,Kind of basket; holder; railing
bitis,Farmer; place; wallowing hole; put in (e.g. balut); play with
bitki,See dictionary entry
bitri,Foot; feet; kind of rice
bitse/bitce,Swirl; sort rice from chaff by swirling in basket. bibitse
bituka,Bitunis/ butunis; be hurt in button(s); buttoned; has buttons
biyas,Segment of
biye,See dictionary entry
biyulin,See dictionary entry
bolabola,See dictionary entry
bolang,Life; live; alive; play dish of food consisting of fish or shaped into ball; stupid. bolangbolang; very; very stupid
bongabilya,Bouganvillea flower)
borles,Go naked; act borles; contributing to
bosis,Voice. one who has the voice as another; bosis listen to anothers voice (to establish
boti,See dictionary entry
botu,Go naked; act borles; contributing voice. one who has the voice as another; bosis listen to anothers voice (to establish; bottle; have plenty of bottles; vote. get someone to vote; botu vote for someone; can be elected; botu; motu; polling place; subject voted on
brad,Brother (new slang)
brasus,Upper arm; barasu
brek,See dictionary entry
britis,See dictionary entry
broca,See dictionary entry
bruha,See dictionary entry
buangin,Kind of soil; clay and sand.. (h)angin
bubu:yan,Kind of
bubung,Stop (the vehicle)!; take break; the British; brush; use brush; witch; ugly; be witch; act nasty; roof; fix roof; get the roof fixed; can fix roofs; apabubung already had roofed; roofed
bugaq,Strike with thrown object
bugbug,Gullet; monkey); stuff oneself; bud of fruit (coconut; or flower (sampagita; gumamela); joint; knuckle. out of joint; pregnant; buktut; separated; live apart; aibukud; lump; swelling boil (on skin). bukul has lumps; bukul; strike with thrown object; bruise; bruise someone; bruised
bugin,Bamboo; thornless variety
bugnus,Spent; expended
bugtung,Riddle. riddle contest; bugtung ayanak only child; make riddles; ask each other riddles
bugtuq,Gasping (the manner of breathing of one near death)
buguk,Going crazy. (h)angin; clay soil.. (h)iya; sparkplug
buis,Rent; revenue
bukakaq,Open; unfurled
bukal,Boil. bubuka; binukal; bumukal sprout; give one lump; boil something thoroughly
bukas,Next day; until the next day; held (e.g.) busy overnight
bukayuq,See dictionary entry
bukbuk,Boil. bubuka; binukal; bumukal sprout; give one lump; boil something thoroughly; tomorrow. the next day; put off till tomorrow; overnight; spent the night; candied delicacy; make
buklat,Open; break (of dawn). open something; buklat; bukongbukong; round bone at side of ankle
buksiq,See dictionary entry
buktut,Pregnant; buktut
buku,See dictionary entry
bukud,Separated; live apart; aibukud
bukul,Lump; swelling boil (on skin). bukul has lumps; bukul
bukuq,See dictionary entry
bula,Cotton
bula:bulaq,Section of fishponds
bulad,See dictionary entry
bulag,Bubulad talk; answer back; talkative. blind; blind person
bulak,See dictionary entry
bulakbul,Cotton; loitering. bulakbulero one who loiters
bulaklak,See dictionary entry
bulaklakan,Teenagers game; played at wakes
bulakus,Kneecap (rare?)
bulan,Moon; month
bulangisngis,Kind of bat
bulaq,Bubble; bubulaq; bubbly
bulas,Be spoken to angrily; bulas
bulati,Worm(s); likely to give worms (e.g. food)
bulbul,Be spoken to angrily; bulas; worm(s); likely to give worms (e.g. food); down; small feathers or hair. bulbul hair in armpits; with abundant down; hairy; defeather; can defeather
buldit,Buttocks; rear of bus or truck; strike in buttocks; struck in buttocks
bule,See dictionary entry
bulig,See dictionary entry
bulkan,Volcano
bulugan,See dictionary entry
